variant,fluid,train_end,forecast_start,forecast_end,model,MAE,RMSE,R2,MAPE,WAPE
1,oil,2009-12-01,2010-01-01,2010-06-01,blend,59803.35013871766,65740.00532160254,-4.651600209274694,37.56046322185875,34.678681676621295
1,gas,2009-12-01,2010-01-01,2010-06-01,blend,7947014.501930632,8663617.738450024,-4.149212556478929,35.14751223858541,32.61663514214217
2,oil,2011-12-01,2012-01-01,2012-06-01,ridge_lags,9118.299041113563,12965.281630071475,-3.284470172128901,17.759542588071742,16.009624611278323
2,gas,2011-12-01,2012-01-01,2012-06-01,ridge_lags,1099995.6022360923,1725491.7375294913,-1.8058557685955696,14.36454746808943,12.34508136084595
3,oil,2013-12-01,2014-01-01,2014-06-01,ridge_lags,21518.18881006378,26891.706559660113,-6.026321409172853,28.001805235533567,30.696875310143756
3,gas,2013-12-01,2014-01-01,2014-06-01,ridge_lags,3053100.217786377,3824980.746719858,-7.408595878893129,27.212613413975234,29.602965845346613
4,oil,2014-12-01,2015-01-01,2015-06-01,ridge_lags,12691.914543725616,18373.898613358895,-4.884145521115436,15.606106337787942,15.528645910038202
4,gas,2014-12-01,2015-01-01,2015-06-01,ridge_lags,1722034.6996504667,2556280.723675975,-5.7642646454366755,14.383750483070331,14.316205775331428
5,oil,2015-12-01,2016-01-01,2016-06-01,ridge_lags,12128.274664877192,12674.41488510962,-2.674176982188779,30.793687144800863,29.25450618430595
5,gas,2015-12-01,2016-01-01,2016-06-01,ridge_lags,1460132.6418369792,1545873.0660889754,-1.5240173617720116,23.119361241483833,22.10691214221126
